numeric_code,iso_code,country,year,human_development_groups,hdi_rank_2021,undp_developing_regions,least_devpd_country,landlock_deving_country,small_island_deving_country,population,gdp,happiness_index,gini_index,income_group,happiness_index_rank_62,co2_per_capita,consumption_co2_per_capita,material_footprint_per_capita,energy_per_capita,renewables_consumption,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,continent,sub_continent_un,hemisphere,latitude,longitude
40,AUT,Austria,2020,Very High,25,NOTAPPLICABLE,False,False,False,8921402,363281092036.0,7.294,29.8,High income,7,6.97,8.833,24.62,44852.156,144.513,0.003,0.177,-0.09,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
40,AUT,Austria,2021,Very High,25,NOTAPPLICABLE,False,False,False,8967053,379835198584.0,7.268,30.7,High income,8,7.333,9.535,24.62,45314.195,138.067,0.003,0.178,-0.058,Europe,Western Europe,Northern Hemisphere,47.3333,13.3333
56,BEL,Belgium,2013,Very High,13,NOTAPPLICABLE,False,False,False,11160277,425993254852.0,6.967,27.7,High income,16,9.213,18.527,30.08,62894.422,36.852,0.005,0.291,0.208,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
56,BEL,Belgium,2014,Very High,13,NOTAPPLICABLE,False,False,False,11210113,432717694183.0,6.952,28.1,High income,16,8.66,18.472,30.04,58059.273,38.442,0.006,0.274,0.293,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
56,BEL,Belgium,2015,Very High,13,NOTAPPLICABLE,False,False,False,11275332,441551470878.0,6.937,27.7,High income,16,8.987,17.884,29.32,58306.633,42.857,0.006,0.286,0.391,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
56,BEL,Belgium,2016,Very High,13,NOTAPPLICABLE,False,False,False,11332707,447144517813.0,6.929,27.6,High income,14,8.808,18.298,29.39,62607.219,44.179,0.006,0.282,0.252,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
56,BEL,Belgium,2017,Very High,13,NOTAPPLICABLE,False,False,False,11376583,454386396677.0,6.891,27.4,High income,14,8.727,17.846,34.02,62940.031,48.534,0.006,0.276,0.358,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
56,BEL,Belgium,2018,Very High,13,NOTAPPLICABLE,False,False,False,11428608,462533269863.0,6.927,27.2,High income,13,8.772,18.542,34.48,62492.762,51.595,0.006,0.273,0.326,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
56,BEL,Belgium,2019,Very High,13,NOTAPPLICABLE,False,False,False,11490623,472897988852.0,6.923,27.2,High income,15,8.685,17.795,33.45,64258.418,56.982,0.006,0.269,0.338,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
56,BEL,Belgium,2020,Very High,13,NOTAPPLICABLE,False,False,False,11540102,447544069854.0,6.864,26.0,High income,17,7.908,15.8,33.45,57530.324,68.902,0.006,0.26,0.293,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
56,BEL,Belgium,2021,Very High,13,NOTAPPLICABLE,False,False,False,11570843,474995824355.0,6.834,26.6,High income,17,8.204,17.442,33.45,63805.598,67.433,0.006,0.257,0.255,Europe,Western Europe,Northern Hemisphere,50.8333,4.0
50,BGD,Bangladesh,2013,Medium,129,SA,True,False,False,156532134,486135250102.0,4.804,32.4,Lower middle income,57,0.414,0.41,2.91,1958.554,2.491,0.002,0.184,0.064,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
50,BGD,Bangladesh,2014,Medium,129,SA,True,False,False,157964931,516793803718.0,4.7490000000000006,32.4,Lower middle income,58,0.428,0.676,2.15,2016.64,2.185,0.002,0.19,0.067,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
50,BGD,Bangladesh,2015,Medium,129,SA,True,False,False,159383179,552104723056.0,4.694,32.4,Lower middle income,56,0.483,0.482,2.54,2416.201,3.053,0.002,0.217,0.079,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
50,BGD,Bangladesh,2016,Medium,129,SA,True,False,False,160811934,589932630231.0,4.643,32.4,Lower middle income,57,0.508,0.787,2.33,2404.679,2.861,0.002,0.231,0.071,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
50,BGD,Bangladesh,2017,Medium,129,SA,True,False,False,162186146,630957812405.0,4.608,32.4,Lower middle income,60,0.534,0.826,2.37,2484.585,3.451,0.002,0.241,0.072,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
50,BGD,Bangladesh,2018,Medium,129,SA,True,False,False,163523109,678912369102.0,4.5,32.4,Lower middle income,59,0.53,0.852,2.84,2631.359,3.046,0.002,0.236,0.104,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
50,BGD,Bangladesh,2019,Medium,129,SA,True,False,False,164913060,717214595514.0,4.456,32.4,Lower middle income,59,0.575,0.901,2.88,2926.16,3.085,0.002,0.256,0.098,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
50,BGD,Bangladesh,2020,Medium,129,SA,True,False,False,166298024,754358367084.0,4.833,32.4,Lower middle income,57,0.576,0.894,2.88,2750.767,2.985,0.002,0.272,0.086,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
50,BGD,Bangladesh,2021,Medium,129,SA,True,False,False,167658855,807308397444.0,5.025,32.4,Lower middle income,54,0.588,0.942,2.88,2937.336,3.301,0.002,0.267,0.079,Asia,Southern Asia,Northern Hemisphere,24.0,90.0
100,BGR,Bulgaria,2013,High,68,NOTAPPLICABLE,False,False,False,7264605,109643527181.0,3.981,36.6,Upper middle income,62,5.862,5.168,17.08,27270.346,19.013,0.002,0.121,-0.968,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
100,BGR,Bulgaria,2014,High,68,NOTAPPLICABLE,False,False,False,7223450,110703533681.0,4.0995,37.4,Upper middle income,62,6.253,5.473,17.58,29286.607,20.18,0.002,0.127,-0.676,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
100,BGR,Bulgaria,2015,High,68,NOTAPPLICABLE,False,False,False,7177515,114498611934.0,4.218,38.6,Upper middle income,61,6.705,5.711,19.12,31303.371,23.999,0.002,0.136,-0.844,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
100,BGR,Bulgaria,2016,High,68,NOTAPPLICABLE,False,False,False,7127436,117979077002.0,4.217,40.6,Upper middle income,62,6.362,5.679,19.56,29900.988,19.781,0.002,0.128,-0.85,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
100,BGR,Bulgaria,2017,High,68,NOTAPPLICABLE,False,False,False,7075642,121237951710.0,4.714,40.4,Upper middle income,58,6.706,5.924,19.29,30834.584,17.469,0.002,0.132,-0.859,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
100,BGR,Bulgaria,2018,High,68,NOTAPPLICABLE,False,False,False,7024745,124492855771.0,4.933,41.3,Upper middle income,56,6.193,5.851,14.69,31149.057,26.206,0.002,0.118,-0.812,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
100,BGR,Bulgaria,2019,High,68,NOTAPPLICABLE,False,False,False,6975466,129520075495.0,5.011,40.3,Upper middle income,56,6.049,5.725,15.02,30327.924,21.759,0.002,0.114,-0.814,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
100,BGR,Bulgaria,2020,High,68,NOTAPPLICABLE,False,False,False,6933656,124392792956.0,5.102,40.5,Upper middle income,55,5.274,5.232,15.02,28177.615,21.521,0.002,0.104,-0.903,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
100,BGR,Bulgaria,2021,High,68,NOTAPPLICABLE,False,False,False,6877222,133889804025.0,5.266,39.0,Upper middle income,53,6.16,5.952,15.02,32263.266,29.074,0.002,0.115,-1.112,Europe,Eastern Europe,Northern Hemisphere,43.0,25.0
112,BLR,Belarus,2013,Very High,60,ECA,False,False,False,9464454,177632980571.0,5.504,26.6,Upper middle income,41,6.778,7.341,7.55,31085.303,0.898,0.004,0.182,0.388,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
112,BLR,Belarus,2014,Very High,60,ECA,False,False,False,9472704,180627882895.0,5.6585,27.2,Upper middle income,40,6.725,7.052,7.98,31127.623,0.871,0.004,0.18,0.271,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
112,BLR,Belarus,2015,Very High,60,ECA,False,False,False,9487289,173709821418.0,5.813,25.6,Upper middle income,37,6.201,6.662,6.53,28138.871,0.922,0.004,0.166,0.344,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
112,BLR,Belarus,2016,Very High,60,ECA,False,False,False,9499066,169304543676.0,5.802,25.3,Upper middle income,38,6.126,6.981,5.63,28718.361,1.105,0.004,0.164,0.404,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
112,BLR,Belarus,2017,Very High,60,ECA,False,False,False,9495793,173606575679.0,5.569,25.4,Upper middle income,44,6.26,7.246,6.18,29259.266,2.017,0.004,0.165,0.346,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
112,BLR,Belarus,2018,Very High,60,ECA,False,False,False,9480031,179054352755.0,5.483,25.2,Upper middle income,46,6.558,7.732,6.75,32402.701,1.83,0.004,0.169,0.216,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
112,BLR,Belarus,2019,Very High,60,ECA,False,False,False,9435415,181643469714.0,5.323,25.3,Upper middle income,50,6.589,7.654,5.59,32726.744,2.231,0.004,0.168,0.021,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
112,BLR,Belarus,2020,Very High,60,ECA,False,False,False,9350943,180420997693.0,5.54,24.4,Upper middle income,47,6.323,7.107,5.59,30643.369,2.702,0.004,0.168,-0.108,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
112,BLR,Belarus,2021,Very High,60,ECA,False,False,False,9251368,184521985376.0,5.534,24.4,Upper middle income,47,6.579,7.599,5.59,33803.074,3.455,0.004,0.165,-0.184,Europe,Eastern Europe,Northern Hemisphere,53.0,28.0
76,BRA,Brazil,2013,High,87,LAC,False,False,False,198478290,3116394665745.0,6.849,52.7,Upper middle income,18,2.678,3.002,20.78,17638.982,1317.562,0.052,1.507,6.43,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
76,BRA,Brazil,2014,High,87,LAC,False,False,False,200085126,3132099937531.0,6.916,52.1,Upper middle income,17,2.781,3.065,19.96,17870.57,1317.889,0.053,1.569,6.587,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
76,BRA,Brazil,2015,High,87,LAC,False,False,False,201675534,3021043246476.0,6.983,51.9,Upper middle income,13,2.619,2.758,19.04,17530.328,1343.086,0.054,1.492,6.665,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
76,BRA,Brazil,2016,High,87,LAC,False,False,False,203218108,2922076150345.0,6.952,53.4,Upper middle income,13,2.42,2.416,18.57,16983.99,1403.47,0.054,1.389,6.202,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
76,BRA,Brazil,2017,High,87,LAC,False,False,False,204703440,2960731613785.0,6.635,53.3,Upper middle income,19,2.429,2.475,18.89,16988.619,1406.64,0.055,1.382,5.482,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
76,BRA,Brazil,2018,High,87,LAC,False,False,False,206107265,3013541086239.0,6.419,53.9,Upper middle income,22,2.312,2.35,18.28,16915.357,1505.676,0.056,1.297,5.638,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
76,BRA,Brazil,2019,High,87,LAC,False,False,False,207455459,3050327159562.0,6.3,53.5,Upper middle income,24,2.298,2.343,18.87,17194.145,1576.005,0.057,1.285,5.966,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
76,BRA,Brazil,2020,High,87,LAC,False,False,False,208660845,2950377451264.0,6.376,48.8,Upper middle income,23,2.147,2.095,18.87,16401.875,1575.936,0.058,1.274,6.562,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
76,BRA,Brazil,2021,High,87,LAC,False,False,False,209550291,3097565215045.0,6.33,52.9,Upper middle income,24,2.37,2.259,18.87,17089.926,1531.76,0.059,1.347,7.404,America,Latin America and the Caribbean,Southern Hemisphere,-10.0,-55.0
